"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","SQFT_BINNED","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED"
"1",1,1,1,1,1,0,6,4,3,3,3,4,4,4,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,4,4,3,3,4,4,3,3,3,3,3,2,0,0,0,4,4,2,3,1
"2",2,1,1,4,1,0,7,8,5,5,3,5,5,5,5,4,4,5,5,4,4,4,4,4,5,4,4,4,3,3,1,4,4,5,4,4,4,4,3,4,3,2,0,0,1,3,4,2,4,0
"3",3,1,1,2,1,0,5,5,3,3,4,4,3,98,3,3,3,98,3,4,4,3,5,4,5,5,4,3,4,4,4,3,3,4,1,2,2,2,3,3,4,4,0,0,0,4,1,1,95,1
"4",4,1,1,4,1,0,3,2,3,3,3,4,3,3,3,3,2,3,2,3,3,3,3,3,3,4,4,3,3,3,4,4,4,3,2,2,2,2,2,2,2,4,0,0,0,4,2,1,4,1
"5",5,1,1,4,1,0,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,2,3,3,3,97,0,0,0,4,1,2,3,1
"6",6,1,1,1,1,0,7,8,1,1,2,2,1,1,2,1,1,2,1,3,4,3,3,3,3,4,5,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,0,0,0,3,2,1,95,1
"7",7,1,1,1,1,0,3,4,5,4,5,5,3,3,4,4,98,3,4,4,4,3,4,4,5,4,4,3,2,4,4,4,4,5,4,4,4,3,3,4,1,2,0,0,1,2,3,2,3,0
"8",8,1,1,4,1,0,8,7,4,4,4,3,5,4,3,4,3,3,3,4,3,3,3,4,5,4,3,4,3,4,3,4,4,5,4,4,3,4,4,4,2,1,0,0,0,1,4,3,1,0
"9",9,1,1,1,1,0,6,6,4,3,5,98,98,98,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,4,0,3,4,4,4,4,4,3,3,3,4,4,0,0,0,4,2,1,4,1
"10",10,1,1,2,1,0,NA,NA,98,3,3,5,98,98,4,5,3,4,98,5,3,2,5,5,5,5,5,2,2,3,4,3,2,3,2,3,2,2,2,4,4,2,0,0,1,4,4,1,95,0
"11",11,1,1,3,1,0,6,10,3,3,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,3,4,4,2,0,0,0,3,3,1,95,0
"12",12,1,1,3,1,0,5,9,3,2,4,3,4,98,4,3,4,4,4,3,3,3,4,5,4,5,5,4,3,3,1,3,3,3,5,5,5,3,3,3,2,3,1,1,1,1,1,3,1,0
"13",13,1,1,1,2,0,4,NA,3,3,4,4,3,3,4,4,3,3,3,5,3,4,2,1,2,3,3,2,2,2,2,4,5,5,4,3,3,3,3,2,3,4,NA,99,1,2,2,1,4,0
"14",14,1,1,2,1,0,6,6,4,4,4,4,4,3,4,4,3,4,3,4,4,4,5,3,3,4,5,4,3,3,4,4,3,3,4,5,3,4,4,4,3,4,1,0,0,4,2,1,4,1
"15",15,1,1,4,1,0,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,5,5,4,5,5,4,2,3,2,4,4,4,5,5,3,4,4,4,2,4,0,0,1,3,2,1,3,1
"16",16,1,1,1,1,0,5,4,3,3,3,2,2,2,3,98,4,2,1,3,3,3,5,4,4,5,5,5,3,4,2,3,3,2,3,3,3,2,2,2,1,3,NA,99,1,2,2,1,95,0
"17",17,1,1,3,1,0,2,6,3,1,3,3,98,98,98,1,3,3,1,3,3,3,4,4,4,4,4,3,2,3,3,3,4,4,3,2,4,4,4,4,2,97,0,0,1,3,2,3,95,1
"18",18,1,1,3,1,0,5,5,3,3,4,4,4,4,4,3,3,3,3,4,5,5,4,4,5,5,5,3,1,2,3,4,4,4,3,3,3,3,3,3,2,3,0,0,1,2,2,2,95,0
"19",19,1,1,1,1,0,3,4,3,3,3,4,4,3,4,4,4,4,2,3,4,3,5,4,5,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,2,0,0,1,1,3,1,3,0
